Origin,SUM(Cancelled)
JFK,10710
LAX,10975
DFW,24084
OGG,550
HNL,700
SFO,14018
ATL,15203
BOS,13812
ONT,1148
DCA,12590
LAS,6852
PHX,6432
IAD,3513
JAX,1989
MIA,5234
TPA,4453
PHL,8834
SJU,1917
HDN,111
SAN,5001
ORD,33974
SEA,3625
DTW,6677
SJC,2908
SLC,2080
KOA,239
MCO,9122
DEN,13252
STL,4337
JAC,243
CLE,3844
HOU,6003
TUS,818
PDX,1922
IAH,11794
MSY,3189
SNA,2010
BDL,2177
RSW,2031
SAT,1923
MKE,2485
PBI,2101
CLT,13301
BWI,9820
LGA,22060
BNA,4626
MFE,463
EWR,17344
AUS,3100
RDU,4530
LIH,268
MCI,3352
ORF,2214
COS,672
STT,375
TUL,1054
FLL,6482
IND,2744
OKC,1396
PIT,2874
ABQ,1065
RNO,897
ELP,752
CMH,2952
SMF,2087
PSP,630
DAY,1240
MEM,1628
MSP,5791
GUC,41
SDF,1407
BHM,1279
ICT,808
EGE,279
DSM,979
FAT,407
OMA,1570
STX,66
LIT,836
RIC,2150
MTJ,144
ANC,662
BET,114
BRW,109
SCC,88
FAI,117
KTN,148
JNU,245
SIT,62
WRG,56
PSG,61
OME,138
OTZ,130
ADK,25
OAK,3374
BUR,2717
BLI,50
GEG,335
ADQ,117
CDV,44
YAK,72
LGB,490
CHS,2225
BUF,2344
HPN,1260
SYR,1264
ROC,1449
PWM,1327
BTV,987
SAV,1296
SRQ,303
SWF,127
PVD,1799
PSE,114
BQN,220
ORH,148
GSO,1334
BOI,507
AVL,559
MSO,87
GRR,1426
MOB,559
CVG,2625
TLH,353
JAN,728
EYW,193
MSN,1119
PNS,692
DAB,168
ATW,357
MDW,10046
GPT,358
GSP,977
TRI,127
AVP,272
MHT,925
ECP,366
MLB,110
ALB,899
FNT,438
VPS,509
TYS,981
CAK,677
MDT,440
HSV,578
BIL,114
FAR,525
CHO,591
BZN,188
LEX,751
ROA,237
FAY,264
SGF,619
MYR,1057
DAL,5794
LFT,494
CAE,499
AGS,203
BIS,255
FSD,669
DLH,399
GRB,581
GNV,208
XNA,1009
ABE,278
CRW,410
CHA,480
ILM,526
EVV,393
PSC,215
SHV,622
BTR,727
CRP,633
HRL,298
ISP,616
LBB,653
MAF,856
AMA,517
ITO,68
ACY,324
PBG,52
IAG,89
LBE,150
CLD,13
LAR,107
SBA,659
SBP,389
DVL,155
FLG,191
SUN,709
FCA,68
MRY,433
SAF,193
GCC,76
PAH,192
CEC,16
MFR,318
MBS,286
MLI,453
CID,819
RAP,320
EUG,262
RDM,315
FWA,504
MKG,192
CMX,228
MOT,140
BFL,152
GJT,139
ASE,1812
ACV,327
YUM,34
DRO,264
ERI,115
JMS,272
LAN,286
SBN,462
LNK,207
MMH,203
TVC,441
GFK,101
PLN,191
SGU,43
SPI,249
EAU,129
HLN,32
SMX,30
LCH,215
LRD,257
TYR,231
RHI,98
GTF,46
VEL,51
HIB,72
ESC,84
INL,45
IMT,65
STC,12
BRD,44
PIH,14
TWF,31
EKO,38
IDA,80
AZO,378
LWS,6
CIU,72
ISN,73
BMI,327
PUB,59
RKS,84
ABR,52
CWA,282
RST,397
LSE,222
DIK,17
PIA,500
RDD,199
COD,52
CPR,57
HYS,138
CNY,37
APN,97
BJI,20
BTM,42
CDC,4
GUM,20
FSM,165
OTH,77
LAW,226
MHK,208
SJT,188
BPT,153
CLL,279
BRO,325
SPS,196
GGG,102
MLU,260
GRK,382
SCE,124
HOB,79
MEI,93
PIB,71
AEX,289
MGM,219
GTR,44
DHN,58
PHF,202
ELM,69
VLD,33
BQK,57
CSG,50
OAJ,228
EWN,174
ABY,34
TTN,286
ILG,5
UST,16
TOL,211
COU,310
ABI,187
DBQ,175
PPG,1
ROW,118
ACT,255
ALO,95
MQT,141
GCK,95
CMI,311
JLN,119
GRI,88
TXK,180
SUX,123
ITH,39
BGM,62
BGR,346
ACK,104
MVY,24
WYS,3
GST,8
AKN,1
DLG,4
HYA,4
BFF,32
EFD,0
SPN,9
PGD,59
ENV,0
TKI,0
IFP,0
STS,204
CKB,45
CGI,57
UIN,119
SWO,55
SFB,127
PIE,78
BLV,16
HGR,1
RFD,10
OWB,5
HTS,47
USA,35
LCK,16
AZA,69
OGD,2
PVU,12
YNG,0
SCK,9
PSM,9
OGS,37
HVN,164
LYH,65
FLO,3
LBF,34
LBL,24
PGV,72
LWB,47
SHD,38
SLN,39
BKG,12
HHH,78
PRC,13
EAR,34
DRT,10
CYS,34
ART,37
PAE,31
PIR,28
ATY,26
BFM,7
XWA,3
