IATA_Airline,ArrDelay
Frontier Airlines,9.670076135
Jetblue Airways,9.552905151
Mesa Airlines,9.388902683
Allegiant Air,8.864781716
Virgin America,7.277887789
Express Jet Airlines,7.244621371
Spirit Airlines,7.185533747
PSA Airlines,7.182900904
SkyWest Airlines,6.277656601
Envoy Air,5.983043459
American Airlines,4.946253097
United Airlines,4.625075966
Southwest Airlines,4.007466808
Republic Airways,3.776904372
Endeavor Air,3.629477447
Puerto Rico Intl Airlines,3.622429107
Hawaiian Airlines,1.061322649
Delta Air Lines,0.103462539
Alaska Airlines,-0.1988778
